Subject,ID,Examn,Study
ZI_M230908H,3190,EPI_FID_1.1_22Slc,10
ZI_M230908H,3190,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230908H,3190,Fieldmap_2,8
ZI_M230908H,3190,EPI_FID_1.1_22Slc_test,6
ZI_M230908H,3190,Fieldmap_1,5
ZI_M230908H,3190,TurboRARE3D_Awake,4
ZI_M230908H,3190,TurboRARE_T2_sag,3
ZI_M230908H,3190,TurboRARE_T2_axi,2
ZI_M230908H,3190,Localizer,1
ZI_M230908G,3196,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230908G,3196,Localizer,9
ZI_M230908G,3196,Fieldmap_2,8
ZI_M230908G,3196,EPI_FID_1.1_22Slc,7
ZI_M230908G,3196,EPI_FID_1.1_22Slc_test,6
ZI_M230908G,3196,Fieldmap_1,5
ZI_M230908G,3196,TurboRARE3D_Awake,4
ZI_M230908G,3196,TurboRARE_T2_sag,3
ZI_M230908G,3196,TurboRARE_T2_axi,2
ZI_M230908G,3196,Localizer,1
ZI_M230908F,3200,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230908F,3200,Fieldmap_2,8
ZI_M230908F,3200,EPI_FID_1.1_22Slc,7
ZI_M230908F,3200,EPI_FID_1.1_22Slc_test,6
ZI_M230908F,3200,Fieldmap_1,5
ZI_M230908F,3200,TurboRARE3D_Awake,4
ZI_M230908F,3200,TurboRARE_T2_sag,3
ZI_M230908F,3200,TurboRARE_T2_axi,2
ZI_M230908F,3200,Localizer,1
ZI_M230908E,3188,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230908E,3188,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230908E,3188,Fieldmap_2,8
ZI_M230908E,3188,EPI_FID_1.1_22Slc,7
ZI_M230908E,3188,EPI_FID_1.1_22Slc_test,6
ZI_M230908E,3188,Fieldmap_1,5
ZI_M230908E,3188,TurboRARE3D_Awake,4
ZI_M230908E,3188,TurboRARE_T2_sag,3
ZI_M230908E,3188,TurboRARE_T2_axi,2
ZI_M230908E,3188,Localizer,1
ZI_M230908D,3186,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230908D,3186,Fieldmap_2,8
ZI_M230908D,3186,EPI_FID_1.1_22Slc,7
ZI_M230908D,3186,EPI_FID_1.1_22Slc_test,6
ZI_M230908D,3186,Fieldmap_1,5
ZI_M230908D,3186,TurboRARE3D_Awake,4
ZI_M230908D,3186,TurboRARE_T2_sag,3
ZI_M230908D,3186,TurboRARE_T2_axi,2
ZI_M230908D,3186,Localizer,1
ZI_M230908C,3189,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230908C,3189,Fieldmap_2,8
ZI_M230908C,3189,EPI_FID_1.1_22Slc,7
ZI_M230908C,3189,EPI_FID_1.1_22Slc_test,6
ZI_M230908C,3189,Fieldmap_1,5
ZI_M230908C,3189,TurboRARE3D_Awake,4
ZI_M230908C,3189,TurboRARE_T2_sag,3
ZI_M230908C,3189,TurboRARE_T2_axi,2
ZI_M230908C,3189,Localizer,1
ZI_M230908B,3191,B0Map-ADJ_B0MAP_mouse_flix,12
ZI_M230908B,3191,Localizer,11
ZI_M230908B,3191,Localizer,10
ZI_M230908B,3191,Fieldmap_2,8
ZI_M230908B,3191,EPI_FID_1.1_22Slc,7
ZI_M230908B,3191,EPI_FID_1.1_22Slc_test,6
ZI_M230908B,3191,Fieldmap_1,5
ZI_M230908B,3191,TurboRARE3D_Awake,4
ZI_M230908B,3191,TurboRARE_T2_sag,3
ZI_M230908B,3191,TurboRARE_T2_axi,2
ZI_M230908B,3191,Localizer,1
ZI_M230908A,3193,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230908A,3193,Localizer,9
ZI_M230908A,3193,Fieldmap_2,8
ZI_M230908A,3193,EPI_FID_1.1_22Slc,7
ZI_M230908A,3193,EPI_FID_1.1_22Slc_test,6
ZI_M230908A,3193,Fieldmap_1,5
ZI_M230908A,3193,TurboRARE3D_Awake,4
ZI_M230908A,3193,TurboRARE_T2_sag,3
ZI_M230908A,3193,TurboRARE_T2_axi,2
ZI_M230907H,3219,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907H,3219,Localizer,9
ZI_M230907H,3219,Fieldmap_2,8
ZI_M230907H,3219,EPI_FID_1.1_22Slc,7
ZI_M230907H,3219,EPI_FID_1.1_22Slc_test,6
ZI_M230907H,3219,Fieldmap_1,5
ZI_M230907H,3219,TurboRARE3D_Awake,4
ZI_M230907H,3219,TurboRARE_T2_sag,3
ZI_M230907H,3219,TurboRARE_T2_axi,2
ZI_M230907H,3219,Localizer,1
ZI_M230907G,3225,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230907G,3225,Fieldmap_2,8
ZI_M230907G,3225,EPI_FID_1.1_22Slc,7
ZI_M230907G,3225,EPI_FID_1.1_22Slc_test,6
ZI_M230907G,3225,Fieldmap_1,5
ZI_M230907G,3225,TurboRARE3D_Awake,4
ZI_M230907G,3225,TurboRARE_T2_sag,3
ZI_M230907G,3225,TurboRARE_T2_axi,2
ZI_M230907G,3225,Localizer,1
ZI_M230907F,3222,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907F,3222,Localizer,9
ZI_M230907F,3222,Fieldmap_2,8
ZI_M230907F,3222,EPI_FID_1.1_22Slc,7
ZI_M230907F,3222,EPI_FID_1.1_22Slc_test,6
ZI_M230907F,3222,Fieldmap_1,5
ZI_M230907F,3222,TurboRARE3D_Awake,4
ZI_M230907F,3222,TurboRARE_T2_sag,3
ZI_M230907F,3222,TurboRARE_T2_axi,2
ZI_M230907F,3222,Localizer,1
ZI_M230907E,3228,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907E,3228,Localizer,9
ZI_M230907E,3228,Fieldmap_2,8
ZI_M230907E,3228,EPI_FID_1.1_22Slc,7
ZI_M230907E,3228,EPI_FID_1.1_22Slc_test,6
ZI_M230907E,3228,Fieldmap_1,5
ZI_M230907E,3228,TurboRARE3D_Awake,4
ZI_M230907E,3228,TurboRARE_T2_sag,3
