ID,x0007CA3BEA,x0007CA3D87,x0007CB2144,x0007CB2246,x0007CB2275,x0007CB24AD,x0007CB24DA,x0007CB2584,x0007CB3395,x0007CB39B0,x0007CB6A8C,x0007CB6B2C
0007CA3BEA,0,0,3,1,0,1,0,0,0,0,2,0
0007CA3D87,0,0,1,2,0,0,0,0,1,1,0,0
0007CB2144,1,2,0,2,0,2,1,0,1,1,1,0
0007CB2246,1,0,0,0,0,0,1,0,2,0,0,0
0007CB2275,0,0,1,1,0,1,3,0,0,1,2,0
0007CB24AD,2,0,3,2,0,0,2,0,0,4,1,0
0007CB24DA,0,0,0,0,0,0,0,0,0,2,0,0
0007CB2584,0,0,2,2,0,0,2,0,1,0,0,0
0007CB3395,1,0,2,1,1,0,1,0,0,1,0,1
0007CB39B0,0,0,1,0,0,0,1,0,0,0,0,0
0007CB6A8C,1,0,1,0,1,1,1,1,0,0,0,0
0007CB6B2C,0,0,1,0,2,0,1,0,1,0,0,0
