TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
1,32786.6299516715,4389.27056343062,35778.8224787768,5420.187912686
2,32732.8828436098,4347.8405633546,35786.8207254646,5416.10546498112
3,32677.8137072312,4287.87278355743,35795.8916875375,5412.4406286088
4,32965.5708634403,4173.81638519225,35803.7304603057,5409.2612517201
5,33224.9479546987,3921.5361480836,35808.9505634521,5405.34837866646
6,33449.9102284595,3703.98553745895,35812.4509666772,5402.89793621362
7,33521.4654114112,3652.76827005059,35816.170094172,5400.27017562823
8,33565.5823950028,3699.00997530183,35817.9123403338,5397.21609876304
9,33591.871896612,3630.6544775702,35820.6117343549,5393.15102246755
10,33549.1877813247,3758.49361092553,35823.8175851041,5388.67097366488
11,33312.7585868368,3992.47348896374,35826.3536904079,5384.19532982324
12,33359.902994728,4065.53292660562,35828.4166679081,5379.6733872104
13,33342.3712781658,4082.98346446254,35830.6171151101,5374.97619443222
14,33385.4357275026,4044.58739417087,35831.9528739386,5370.58167677946
15,33250.1331237157,4083.93973465969,35832.7401390453,5366.57123946604
16,33197.6348292705,3834.37643625327,35833.4402095845,5362.69330448663
17,33256.6086756953,3805.57833881751,35833.4938438336,5358.56395946453
18,33173.2271876131,3777.67833158778,35833.0427796411,5354.73074739362
19,33119.5373506196,3746.65921578799,35832.4678571517,5350.97413624042
20,33323.6833591216,3491.81099505025,35831.3778731944,5347.50064074899
21,33589.9117222092,3294.18329709616,35830.1812398327,5344.14591249848
22,34328.4250663854,3753.27438021427,35828.9049335192,5340.56342759759
23,34493.9747032911,3930.36111653943,35827.4203782824,5337.00513924307
24,35945.0253332102,3293.1578569879,35826.1412268419,5333.33532620508
25,36262.7722834282,4000.6225713993,35823.9871773462,5330.70307837525
26,36259.9943376847,4437.85862634812,35819.1475368234,5329.10587761323
27,35452.3800314598,4928.00786473538,35812.7204475234,5328.61813660701
28,36049.3878046697,4656.06934529717,35804.6835766315,5328.51109414775
29,36724.4482517841,5042.07672191873,35797.0185693621,5327.1217702837
30,36938.4259586092,5000.30080817545,35790.0884002085,5323.57421938883
31,36735.6027460311,5161.58097339145,35782.0910257367,5320.54860808925
32,38140.1956969944,6295.05405239106,35774.5783195055,5317.72712198281
33,37761.2293902768,5478.39377310795,35768.2293210861,5315.57063562736
34,38642.798158079,4938.85214361686,35763.0276599908,5313.10359085633
35,38951.0332817901,5076.11294075742,35758.5791172943,5309.95804229688
36,39205.5136168514,4956.10653608488,35755.2985620401,5307.72102295938
37,37300.1913930565,5496.88591897091,35752.5272186333,5306.900290428
38,37696.2325376481,5127.95723583847,35749.7198196868,5306.1387699629
39,36652.0996128341,5165.30125506096,35746.8294026967,5305.4219565258
40,36477.8161489361,4459.08500879184,35744.0685050794,5304.82979429853
41,36559.5980114967,4433.70575475829,35739.7689392652,5304.98235208104
42,36606.2748874089,4316.53478312775,35736.4110395187,5304.8259529224
43,36573.8541806253,4165.95643561206,35732.0252537793,5304.80935958647
44,37942.6440015733,3841.54098537627,35727.5637632056,5304.02905322447
45,37820.9901701294,4185.86381984801,35722.6635527636,5303.6585053969
46,37781.7202509171,4065.07574625056,35719.0928801611,5302.148297739
47,37139.1972675989,4547.61450539935,35715.7941041368,5300.07726476073
48,37244.5138311568,4504.07181234318,35712.8739131174,5298.10397830702
49,37234.5557271498,4648.75167118363,35710.4629099021,5296.1189751791
50,35519.8564290432,5463.9324633631,35707.9385627896,5294.02796979001
51,34317.4889669848,7141.34847593782,35705.4128181005,5291.63918793604
52,34868.776565267,6952.6573105526,35703.19357129,5289.64780473938
53,34939.7279212713,7048.03137635463,35700.6016349059,5287.7105578865
54,35087.4326225214,6781.4849708548,35698.0345848447,5285.94631872365
55,35441.8323002693,6610.09131825588,35695.7232607694,5284.37333161162
56,35660.89656567,6636.92726809477,35693.4323655235,5282.94825711028
57,35768.5193712053,6258.38631608342,35691.203111496,5281.07546708678
58,36056.7198966212,6373.69844703449,35690.1499374978,5278.85416570861
59,36049.338501386,6400.45186413296,35689.1715086878,5276.89365645555
60,36128.7698075224,6387.05972193189,35687.2716197541,5275.9823121988
61,36226.2062026979,6375.0335935383,35684.4357605279,5273.66996303559
62,36140.8924076068,6325.70379146507,35681.9217695072,5270.97007084896
63,35965.6222240867,6297.23913223176,35679.8642005212,5268.16520805853
64,36234.652677228,6366.71493505968,35677.5467624957,5265.10653397703
65,36167.2692175488,6330.0915802464,35675.4683152012,5261.92254490007
