,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,1,0.386364676073858,0.239158632961876,0.115169337562686,0.195488301107674,0.290896584085465,0.235538364297851,0.302636849743898,0.445038260335586,0.239566899056959,0.291301162038982,0.207561485618842,-0.021938303832825,0.00525055267218586,0.218710415205595,0.113143737583671,0.163349864341409,0.078024793213339,0.0445419346475495,0.237272844663028,0.118345338472804,0.100460511390362,0.245290426837848,0.216914036351048,0.0970165216338479,0.203354193833528,0.0678876982340606,0.268199638438412,0.261273879636895,0.338472807728945,0.189762386965545,0.195501921786147,-0.0456831339920029,0.162128936303047,0.00903514311826453,0.051601923290301,-0.00980127835499753,0.0203517951542774,-0.0815113394157757,0.133935095473097,0.0522394477869888,-0.00434257804500098,0.0511756605479459,0.052308153708367,0.0206614272015879,0.10564168201365,-0.109434404382444,0.0103617544102212,0.113286026104101,0.115582570311194,0.118445634065565,0.181421294660248
OF,0.386364676073858,1,0.728553214128029,0.746394345095495,0.592922146840481,0.504124185642741,0.421060127953091,0.366220411210525,0.525184886625291,0.371048642123013,0.217671591222006,0.482322814673115,0.425718055139402,-0.0228328966856822,0.12851120309708,0.636857536907413,0.678374721971121,0.41823120282549,0.321012274138714,0.39547173430104,0.319038579980803,0.08618821689725,0.228363220998761,0.0583575303487226,0.189704812581562,0.313144179276496,0.275865289103197,0.0662178990803475,0.161688191059574,0.111949330931303,0.122774709466818,0.1990999848741,0.113570761487239,0.205448632373005,0.166738900251577,0.263486521433332,0.176077936565007,0.185971401159956,0.102949674556229,0.29812009468087,0.264927724929404,0.165382365755536,0.0435712362445174,0.077608102828035,0.0925165866206056,0.227105593956868,0.0125167031497377,0.0305715383372954,0.0958180300294551,0.267022478835367,0.0411953944219079,0.181383773729076
PL,0.239158632961876,0.728553214128029,1,0.808210267310643,0.728009694922003,0.4605454996708,0.415401143577933,0.290176715183661,0.577597447252597,0.348187302868282,0.133254685421524,0.378590525330918,0.362992494907424,-0.107105878815822,0.0447007104739358,0.57514429963896,0.595563173512553,0.41653303944562,0.186491687484771,0.301019079295591,0.263859155539798,0.012244645922636,0.126807370944794,0.0661544831441936,0.218641389891505,0.079736013331435,0.0681883309491354,0.00902539166535912,0.014150547741913,0.0332653840582286,0.129690185085008,0.197515722013549,0.116986740052557,0.171043123057599,0.173527326816803,0.287410738029762,0.216025560950344,0.197711414649824,0.0941309893034138,0.27532564882125,0.24973040135424,0.157087440598644,0.0235024444666029,0.0897805244824706,0.0969476284542304,0.219809594150525,0.00716025284780961,0.0849003247829735,0.0947926048446604,0.242131388213716,0.0221986737087202,0.12958222242443
IL,0.115169337562686,0.746394345095495,0.808210267310643,1,0.677565643504954,0.427522145941713,0.373615440783839,0.256301337540746,0.371616523532305,0.330711767566052,0.0939280186998321,0.375990157961413,0.41894904024093,-0.041828905224704,0.057862361427881,0.748728140785853,0.680259894400835,0.542549384231087,0.341175830838817,0.334367379846114,0.348001786144876,0.114940727605206,0.146675927407445,0.0173871588970275,0.202665912713846,0.179187819158248,0.160482764751335,0.0100759004808366,0.0707169058762758,-0.0186568203574021,0.0374928214258798,0.135487703008707,0.112803402657693,0.134214268832174,0.205335717058589,0.294335171388691,0.211579738042725,0.200520682504395,0.140056523224532,0.290893718998708,0.260202992563281,0.173980814877621,-0.0303391347622923,0.0559826158273831,0.0676486434164228,0.204957381279164,0.0261504068382367,0.0805482852596567,0.112205321443713,0.252731659338334,0.019023545719441,0.145928976544435
Cing,0.195488301107674,0.592922146840481,0.728009694922003,0.677565643504954,1,0.511628671208205,0.446755965311583,0.347566146050581,0.521474882359405,0.418249673181865,0.125075025566719,0.262306720608835,0.304464243249298,0.0136170070979519,0.121936933638833,0.50089382166872,0.486768462733813,0.487402751482899,0.250268716350176,0.423589476399148,0.396233027666202,0.131755943766965,0.172511999352929,0.06867840911055,0.265162790640428,0.190564932499888,0.219024568002394,0.114085706281717,0.076800522803437,0.0400921248034878,0.0628190342849037,0.148362240269792,0.0486827600932606,0.116028766712413,0.265760569362254,0.408105592476598,0.247579318145683,0.211805854414886,0.0715087255068948,0.253782066740003,0.236893707110497,0.158953403298814,-0.0292973293872832,0.0306827783377525,0.0609183623072456,0.183256817042818,-0.00547811826768318,0.0846096951825741,0.156846791269992,0.271492439615194,0.0257430818687777,0.0902267139098954
Th_PM,0.290896584085465,0.504124185642741,0.4605454996708,0.427522145941713,0.511628671208205,1,0.794925028951399,0.433121545319949,0.405491234173327,0.455060552964173,0.258242572033445,0.272223892348015,0.216999283568667,0.0817797049065472,0.329570720393646,0.348889500021873,0.367832901306111,0.421615616814601,0.29169244958412,0.468674183146065,0.407404697157356,0.179846254921295,0.203293890822926,0.322494771528293,0.450520837279436,0.358424069312145,0.279895214800206,0.245955145518707,0.213696946367297,0.19942545790048,0.227297855399025,0.246620480826673,-0.0740720220516817,0.246055573245401,0.245830104432072,0.390622872856196,0.228874363358015,0.256778929364928,0.00150316952453299,0.299063611981362,0.223083511729704,0.30164201607931,0.0559799234268365,0.0603860922623051,0.0970819491999211,0.275382775562821,-0.117471373361046,0.120431600078926,0.348120498689465,0.36590508073164,0.213377815254304,0.1976753625619
Th_SM,0.235538364297851,0.421060127953091,0.415401143577933,0.373615440783839,0.446755965311583,0.794925028951399,1,0.401258868055812,0.379861937820988,0.455800134827408,0.212066412976371,0.219823983344734,0.212625649738351,0.135814880148757,0.377143634224152,0.273072160138109,0.334020782060929,0.352430000127767,0.249109926397099,0.406984746776379,0.360271553705407,0.198919618853425,0.197859504235237,0.418148772657016,0.59759953340229,0.315276968191937,0.286123777691267,0.225041689475935,0.17939325920557,0.169600068162584,0.301069709331365,0.313672474494728,-0.00326705868774414,0.279633295311577,0.267290125387719,0.42830553528268,0.265429296110492,0.229513290886915,0.0195258300228561,0.27589583831513,0.221510054045341,0.304707889206186,0.0958128106838913,0.100743228767656,0.107223710943513,0.294261220308011,-0.0887936282365989,0.127503015612282,0.420761229026893,0.3686033239086,0.163769476190176,0.176489834757612
M1,0.302636849743898,0.366220411210525,0.290176715183661,0.256301337540746,0.347566146050581,0.433121545319949,0.401258868055812,1,0.544696753750224,0.658311617650162,0.54134895211505,0.194193111568349,0.0374765851630841,0.0716489209998414,0.296246109817324,0.245697144302761,0.177817791108074,0.347902892150189,0.245188243941658,0.659645917619533,0.392680992410047,0.289608537309984,0.514391931376,0.221426531123888,0.110471235874708,0.526395978221201,0.302400522008945,0.391379197417956,0.643626668546328,0.473381602429096,0.0939997025614647,0.19944899764035,0.0360351562004673,0.219927525825935,0.106483608628077,0.1939585102005,0.0887194999222089,0.137550886707058,0.0921595837372046,0.259019339108105,0.17750495200226,0.135689116436608,0.0666799691535017,0.17800698959048,0.192061658075685,0.294519233845385,0.0476120933357536,0.0707036840254364,0.193724585030836,0.273258633930955,0.151206931894954,0.177835462128524
M2,0.445038260335586,0.525184886625291,0.577597447252597,0.371616523532305,0.521474882359405,0.405491234173327,0.379861937820988,0.544696753750224,1,0.459636327528396,0.370238378896204,0.293409745837116,0.121766117946094,-0.0859783924122675,0.157400686441251,0.267815585178731,0.337195438624937,0.212740269815148,0.0799416121317757,0.369825778637709,0.214532658215604,0.0436222369550535,0.243195537166499,0.186984616537081,0.206048308734031,0.129969908167426,0.0418705350369535,0.115828015994338,0.138918392797458,0.256597785263838,0.224962431377312,0.272903044637541,0.180598557966231,0.2329282222201,0.0524932294026788,0.140233037141938,0.166834041352935,0.224649075023796,0.142407645115378,0.296161837308327,0.248530545191876,0.151895960404877,0.147468982483856,0.200385988125778,0.241248330587033,0.347533519990265,0.145594913784644,0.0868904574139673,0.11824513768937,0.179062113289914,-0.00151299940313533,0.161007408627322
S1,0.239566899056959,0.371048642123013,0.348187302868282,0.330711767566052,0.418249673181865,0.455060552964173,0.455800134827408,0.658311617650162,0.459636327528396,1,0.64844610694226,0.198966962487298,0.0619075849545468,0.0730314652296068,0.328144360335611,0.246455409518418,0.243819993209304,0.341159850767305,0.220538765656511,0.603560986881843,0.371541119745903,0.300896772094864,0.464385262301173,0.246252201014487,0.197519806316327,0.360723229710768,0.265797936965866,0.369630878760381,0.430618229474476,0.439680978685344,0.157239249763685,0.238845287298497,0.087877943469308,0.214984740862277,0.25359833956912,0.349674565536164,0.156466694378571,0.147889808932737,0.0770580438357282,0.238623920815999,0.209889358042088,0.17944591931117,0.0659673322557347,0.114755993150836,0.163460625836112,0.314299731002707,0.119382763796762,0.0185833784538125,0.217717780498356,0.389149827970426,0.0855901520952128,0.121214607724652
