,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OF,-0.634059609885205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,-1.58127342220719,-1.22998586040878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,-0.554121066009538,-0.466779122635631,-0.101661628795288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cing,-1.84784283621326,-0.627041467800397,-0.618347066900157,-0.491496257034579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Th_PM,-1.02609496481556,-2.16265592374167,-3.61494263380243,-2.26785920068548,-2.0511684021153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Th_SM,-0.533814080627367,-2.38069542302144,-3.9888214869637,-2.76637333115998,-1.98796393561226,0.687001128109884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,0.442246425394456,-0.880405630666875,-1.20280879629619,-1.50614027753721,-1.09802587995563,-0.666218428856785,-0.840368533349904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2,-2.46194687230166,-2.79920586508818,-2.02544687951365,-2.38778536717129,-2.06258066590828,-3.14897117268583,-2.51906759299125,-1.88095071583132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,-0.999449422729163,-1.40777605314578,-2.08144545888701,-2.18374148082952,-2.52439815566673,-0.741881757587895,-1.41576421988697,-0.116335701347691,-2.60122122443767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,-0.325536338816075,-0.0165103373555821,-0.3902940725269,-0.211339870602953,-1.29127277546511,0.421618723394451,0.414971851770589,-0.532387284777589,-2.53241038612079,-1.02399463072625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB,-0.277898703395971,-0.217951130496591,-0.0349785588563366,0.837306043423793,0.497282035176197,-1.39370620217535,-1.36840606633808,-0.434486316190967,-1.17685676714859,-1.22036573035589,-0.401532728853319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AON,0.189721590329181,-1.06814146822181,-0.708829699895485,-0.0580110998047447,0.682387068403897,-1.46405202425012,-2.48391749034051,-1.1531215222444,-1.40625038836652,-1.75681680290225,-1.17545924713804,-1.18281466921733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu,0.30538704003446,0.308218319526865,-1.17202505655955,-1.56032420924265,-1.39591121380278,0.477015442597754,0.693249861391918,-0.0905346841008907,0.0464655451231621,-0.235033367165001,0.277331505563938,-1.86551387764229,-2.01079353251327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
