,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,NaN,-0.634059609885205,-1.58127342220719,-0.554121066009538,-1.84784283621326,-1.02609496481556,-0.533814080627367,0.442246425394456,-2.46194687230166,-0.999449422729163,-0.325536338816075,-0.277898703395971,0.189721590329181,0.30538704003446,0.719661047030439,0.500997757814612,-0.513243025661055,-0.260222237505591,0.328922026778339,-0.17007429164918,-1.09147248198316,-0.3734450529796,0.560720278068209,0.286036371258715,-0.694698368897828,1.23659059467391,1.42822762727985,0.464351866992218,2.10110647544847,0.330264828366985,0.164488524558548,-1.79680057810232,0.376778380758938,-1.12372932084551,-0.819921579418025,-0.107134805894423,-0.749803756651115,0.473818246090225,1.40604833975139,0.772558007814977,0.626776539659216,0.927394448555017,-0.0838828087924777,-0.0625204741851927,0.712684604441166,-0.143903694675607,0.468107407447814,-1.49436904284253,-0.262348138151313,-2.33300120505803,0.327554337039809,1.90516828655474
OF,-0.634059609885205,NaN,-1.22998586040878,-0.466779122635631,-0.627041467800397,-2.16265592374167,-2.38069542302144,-0.880405630666875,-2.79920586508818,-1.40777605314578,-0.0165103373555821,-0.217951130496591,-1.06814146822181,0.308218319526865,1.10981825174863,0.310687790566172,-0.203214354762378,0.0481273016445297,0.571763002708316,0.786055561820928,-0.444991620720993,1.68248449132722,0.289897817287777,0.913962360719282,-1.05620049005847,-0.884728072625571,0.288402443117931,1.1208666641163,0.703185912057158,0.511828144388038,0.0673691582899756,-1.44538739862971,-0.837319522952021,-1.28244255273513,-0.935349058799183,-1.81016272024752,-2.11875144997354,-2.80550551231757,-2.30946685486871,-2.35986026255201,-2.52878734735842,-0.629458633416109,0.652966408382364,-0.293026161219891,0.290467118013027,-1.16880294260987,0.980252730860334,-0.893695991074911,-0.188318978666867,-1.7286168880974,-0.653303170809562,-2.49401635070351
PL,-1.58127342220719,-1.22998586040878,NaN,-0.101661628795288,-0.618347066900157,-3.61494263380243,-3.9888214869637,-1.20280879629619,-2.02544687951365,-2.08144545888701,-0.3902940725269,-0.0349785588563366,-0.708829699895485,-1.17202505655955,-0.396292355740728,-0.227143096970129,-0.122858686026174,-1.22162477600819,-0.394721232141987,-0.629106658217544,-0.926422290471353,0.816679814659327,-0.821996684020176,0.410444926461987,-1.34645371001653,-2.18960491327503,-1.31664063615081,-0.202618532701982,-0.665990154726518,-0.588291490656987,-0.0796689190083952,-1.03847460274952,-0.00875114870620756,-0.983893265614225,-1.76909573196212,-2.69735990326152,-2.35278122936188,-3.58222466087718,-2.81001416884735,-3.2988841531854,-3.03588261519467,-1.91810830535658,1.09811905311258,-1.00458999183944,-0.525618592299809,-2.47671527648548,0.251655229216094,-0.737436704006528,-0.20242992103575,-1.73333928760458,-2.0849343096623,-2.98598805859588
IL,-0.554121066009538,-0.466779122635631,-0.101661628795288,NaN,-0.491496257034579,-2.26785920068548,-2.76637333115998,-1.50614027753721,-2.38778536717129,-2.18374148082952,-0.211339870602953,0.837306043423793,-0.0580110998047447,-1.56032420924265,-0.692962657964544,-0.170059789905802,1.55118488819581,-0.494492328262878,-0.562293173733376,-0.285806192733881,-0.783874909115498,0.0271478436791422,-0.5349402538292,-0.186449552019817,-1.75515922465915,-2.40919717314818,-1.06437556706294,-0.230090456005581,-0.46217364511331,-0.229865984835109,-0.0858371384875796,-1.4065251784314,-0.766291922941098,-0.883478092078585,-1.8315170067792,-2.64645583713311,-1.81059544560207,-3.42389013194908,-3.20917490812374,-3.38700796804621,-2.70409849480624,-1.8766771459736,1.25716550720112,-0.528977013527827,-0.442934837365234,-1.47218819668072,0.255986202321279,-1.04510301159181,-0.709490583646962,-1.31342858687791,-1.46415369166581,-3.29302939605459
Cing,-1.84784283621326,-0.627041467800397,-0.618347066900157,-0.491496257034579,NaN,-2.0511684021153,-1.98796393561226,-1.09802587995563,-2.06258066590828,-2.52439815566673,-1.29127277546511,0.497282035176197,0.682387068403897,-1.39591121380278,-1.18889622730557,-0.309853309479938,0.972722980491027,-0.888576908765994,-0.357428300527125,-1.02632985232841,-1.36820286822556,-0.039178640646225,-1.33047123342166,0.24937045963282,-0.743027846469695,-1.48773873182597,-1.55083625179868,-1.1970085486567,-0.781265971531522,-1.20609752414785,-0.14643960641323,-1.21467582216898,-0.772543150334972,-0.303011762701044,-1.44620993217952,-2.03925418433723,-1.64064652845316,-2.83978890811884,-2.86099295494059,-2.4353383416331,-2.04065255067516,-0.153556495333475,1.37200561805792,-1.13432444141475,-0.634550288416504,-1.58856087947704,-0.0412754691614572,-0.317603294228165,0.105253542569634,-1.00041001118733,-1.3388524097368,-1.99842234003362
Th_PM,-1.02609496481556,-2.16265592374167,-3.61494263380243,-2.26785920068548,-2.0511684021153,NaN,0.687001128109884,-0.666218428856785,-3.14897117268583,-0.741881757587895,0.421618723394451,-1.39370620217535,-1.46405202425012,0.477015442597754,-0.0343659173981491,-1.73322761604441,-1.62516325088413,-1.72670014345546,-1.70615277978282,-0.647929634685504,-1.26979936637254,1.08063815068007,0.785151822791038,0.785674578624961,0.403457711449973,-1.28412094116756,-0.923727536363845,-0.253997743572196,0.633475213231103,1.03913495768707,-0.488561404346096,-1.51649714025582,-1.52990235275197,-0.27929729570722,0.421089465137065,-0.265091551998982,-0.482356846568222,-0.830989224874929,-1.26433325688418,-0.852663751670401,-1.11475111021581,-0.137630480544033,1.29197006322638,-0.160328769790217,0.345177613447238,-0.980728180200387,-0.964559661421667,-0.4153502668896,0.473083310191484,-1.01097233122049,0.419993178947178,-0.368951205884973
Th_SM,-0.533814080627367,-2.38069542302144,-3.9888214869637,-2.76637333115998,-1.98796393561226,0.687001128109884,NaN,-0.840368533349904,-2.51906759299125,-1.41576421988697,0.414971851770589,-1.36840606633808,-2.48391749034051,0.693249861391918,-0.388834284614605,-2.31178823436789,-2.50682746596622,-1.43886898897156,-1.86805187134524,-1.16846758098929,-1.0360012531245,0.76151428462773,-0.0856251939633398,0.946349719294282,0.0264994099317104,-1.60231503984909,-1.57303134343294,-1.05799502243456,0.495344624083004,0.76948224474376,-0.338603821431477,-1.65198679688423,-1.66563945777171,0.211744391586458,-0.770728037360935,-0.921035071979684,-0.444190754065232,-0.488799367090463,-1.78874128263953,-1.12686464307641,-1.31975500653763,0.784805665893273,1.95300057292117,-0.501848443799018,0.0300300947324314,-1.3521425894532,-1.94249872466343,0.340332310049894,0.933987316499424,-1.20517929087812,0.739725028808115,-0.331139423680294
M1,0.442246425394456,-0.880405630666875,-1.20280879629619,-1.50614027753721,-1.09802587995563,-0.666218428856785,-0.840368533349904,NaN,-1.88095071583132,-0.116335701347691,-0.532387284777589,-0.434486316190967,-1.1531215222444,-0.0905346841008907,-1.62208366591733,-1.12881442065902,-0.618144039360495,-2.06421137323439,-1.0345657537236,-2.57155941076649,-4.28467142236962,-1.37769528772779,-2.67666085532466,-1.30347456464886,-0.658293404762316,-1.90252209105424,-0.954243301529932,-1.9422871651842,-1.2546909304257,-2.08780436946586,-0.719721765447401,-1.22787197480365,-0.846566618260206,-1.55949631198829,-0.307347415988631,-1.01946341500362,-1.16865256097511,-0.749920147816828,-1.69325841623724,-1.48751976098665,-0.976092169282758,-1.59946799109701,0.518695843902828,-1.37441598073743,0.0106814792712065,-1.17788176446017,0.93738696956084,-1.86278784375929,-2.03698565861931,-1.06890400909796,-1.24123474369068,0.128659701890826
M2,-2.46194687230166,-2.79920586508818,-2.02544687951365,-2.38778536717129,-2.06258066590828,-3.14897117268583,-2.51906759299125,-1.88095071583132,NaN,-2.60122122443767,-2.53241038612079,-1.17685676714859,-1.40625038836652,0.0464655451231621,-1.13395451651998,-2.30443159707378,-2.32644336015626,-3.74645003528746,-1.76161069266331,-3.50619319221264,-4.08153355531025,-1.04300837790834,-2.2055240615551,0.213937529353976,-1.04697994040796,-2.43046441185055,-1.34474446669112,-0.872786284861338,-1.32864377072362,-2.00701833604635,-0.792411265623901,-1.51396388210294,-0.465089471522263,-0.996728232586204,-1.12937104058677,-2.40224488384974,-1.89582964170343,-2.29789201726439,-2.73819456485078,-3.17964362320881,-3.0285205700099,-0.917539560093349,1.2592558830545,-1.50108954047603,-0.796357926565356,-2.83404805919108,-0.467566138456172,-1.25825937778937,-0.418854624324199,-1.39895793597971,-2.10927427483196,-1.92795574925443
S1,-0.999449422729163,-1.40777605314578,-2.08144545888701,-2.18374148082952,-2.52439815566673,-0.741881757587895,-1.41576421988697,-0.116335701347691,-2.60122122443767,NaN,-1.02399463072625,-1.22036573035589,-1.75681680290225,-0.235033367165001,-1.64504315086136,-1.74922478091496,-2.03961510906101,-2.44000592117927,-1.89723812930555,-3.63838885514567,-4.02509897194959,-2.1819689260663,-2.25338559271154,-0.498357074231788,-0.448419273094438,-2.11549255988001,-1.67449544826452,-0.905227680013924,-0.949649060331282,-1.86998515371724,-0.0813047808555593,-1.23235060071624,-1.39570538896849,-0.553491842957395,-0.0847726527346602,-1.92463922653263,-1.09901771196297,-0.313759938993973,-1.29634074306441,-0.745252657746622,-1.25841611950358,-1.34581659703238,1.80374646081853,-0.18014209872125,0.715005110120822,-0.920313404828261,-0.108254882912074,-0.216658080740484,-1.00871012635111,-1.23966775050338,-0.139025150399876,0.142782959207616
