SubjectIndex,Pre_Conditioning,Test_Conditioning,Pre_Control,Test_Control,FCdiff_Conditioning,FCdiff_Control
1,0.282224848995382,0.355643911587022,0.300112894990211,0.267841749970639,0.0734190625916394,-0.0322711450195719
2,0.290998011617733,0.290397287519856,0.312141845725514,0.280665598149729,-0.000600724097877814,-0.0314762475757852
3,0.2709196386244,0.356820705924804,0.289200353507259,0.297718957931641,0.085901067300404,0.00851860442438174
4,0.265597741510263,0.310025041548923,0.318273429008317,0.263834392618737,0.0444273000386594,-0.0544390363895805
5,0.303429911951524,0.349529858963098,0.366292934610085,0.323203593612649,0.0460999470115739,-0.0430893409974369
6,0.293542339416484,0.348498699234575,0.2800721292563,0.26142717172039,0.0549563598180918,-0.01864495753591
7,0.352794188890896,0.356892406508533,0.293737789965141,0.282769132758452,0.00409821761763685,-0.0109686572066884
8,0.316262573308137,0.340215874479063,0.372571746372898,0.339195792824825,0.0239533011709267,-0.0333759535480734
9,0.412567481245854,0.360059482758259,0.316910734727937,0.31618925154636,-0.0525079984875954,-0.000721483181577054
10,0.324380787861853,0.31440225111164,0.311310812432014,0.295021081753808,-0.0099785367502126,-0.0162897306782063
11,0.348880037585064,0.342899326767077,0.282699421160855,0.277337159529638,-0.00598071081798685,-0.0053622616312175
12,0.298512755686766,0.363142766914049,0.264413953377947,0.272115312042359,0.0646300112272826,0.00770135866441185
13,0.303829438895727,0.356259522846915,0.281248791103266,0.361670356574736,0.052430083951188,0.0804215654714701
14,0.26160256871576,0.288907713605142,0.282848442379013,0.270111323636456,0.0273051448893821,-0.0127371187425567
15,0.28091268328759,0.28579475929649,0.255333487161561,0.25904536483946,0.00488207600889984,0.00371187767789943
16,0.295192932184042,0.291663431456036,0.254247114210617,0.325915993843338,-0.00352950072800662,0.0716688796327208
17,0.274508749031369,0.291983898239941,0.326913154434125,0.339552235361357,0.0174751492085712,0.0126390809272317
18,0.328732953169151,0.457057642553922,0.243866781269303,0.285528927629242,0.128324689384771,0.0416621463599391
19,0.291847455102134,0.316324094295588,0.336829791166248,0.367987215109029,0.0244766391934545,0.0311574239427809
20,0.267326656341157,0.299828796804717,0.293978162260008,0.259724856041023,0.0325021404635598,-0.0342533062189841
21,0.367763946991845,0.341306766763439,0.337991538056171,0.303783366750972,-0.0264571802284057,-0.0342081713051985
22,0.324863836946155,0.337392048327536,0.303563832097381,0.313669279744394,0.0125282113813809,0.0101054476470129
23,0.298887065249517,0.357781228487125,0.332517110446272,0.374411849630295,0.0588941632376078,0.0418947391840225
24,0.355119357509941,0.335566494725406,0.297955957222104,0.303461542894849,-0.0195528627845342,0.00550558567274512
