AnimalID,AnimalNumber,NoSeMaze,HierarchyWindow,Rank,FractionWins,FractionLosses
0007CA3BEA,11,2,AM2_day1to14,8,0.0875,0.075
0007CB2246,12,2,AM2_day1to14,10,0.05,0.1375
0007CB2584,13,2,AM2_day1to14,3,0.0875,0.0125
0007CB2275,14,2,AM2_day1to14,2,0.1125,0.05
0007CB39B0,17,2,AM2_day1to14,11,0.025,0.125
0007CA3D87,18,2,AM2_day1to14,5,0.0625,0.025
0007CB3395,19,2,AM2_day1to14,4,0.1,0.075
0007CB6A8C,22,2,AM2_day1to14,6,0.075,0.075
0007CB6B2C,23,2,AM2_day1to14,1,0.0625,0.0125
0007CB24AD,24,2,AM2_day1to14,7,0.175,0.0625
0007CB24DA,25,2,AM2_day1to14,12,0.025,0.1625
0007CA38FF,26,1,AM1_day3to16,3,0.0869565217391304,0.0652173913043478
0007CB357C,27,1,AM1_day3to16,4,0.130434782608696,0.0652173913043478
0007CB239E,30,1,AM1_day8to21,4,0.155963302752294,0.100917431192661
0007CB4123,31,1,AM1_day8to21,3,0.0825688073394495,0.055045871559633
0007CB42F2,32,1,AM1_day8to21,8,0.0825688073394495,0.128440366972477
0007CB08A5,33,1,AM1_day3to16,12,0.0217391304347826,0.16304347826087
0007CB6EA3,34,1,AM1_day3to16,6,0.0760869565217391,0.0869565217391304
0007CB0ABC,35,1,AM1_day3to16,7,0.0434782608695652,0.0543478260869565
0007CB1EC1,36,1,AM1_day3to16,11,0.0217391304347826,0.130434782608696
0007CA3A35,37,1,AM1_day8to21,1,0.155963302752294,0
0007CB330D,38,1,AM1_day8to21,7,0.0458715596330275,0.073394495412844
0007CB2144,39,2,AM2_day1to14,9,0.1375,0.1875
0007CB0D91,40,1,AM1_day8to21,11,0.055045871559633,0.220183486238532
