AnimalID,AnimalNumber,ScanDay,fr_loser,Pre,Test,Delta_TestMinusPre
0007CA3BEA,11,3,0.075,0.369081790437987,0.66065542641916,0.291573635981172
0007CB2246,12,3,0.1375,0.322270370084946,0.39557519770944,0.0733048276244939
0007CB2584,13,3,0.0125,0.391161346253863,0.901101193103159,0.509939846849297
0007CB2275,14,3,0.05,0.28831952938988,0.549222117814858,0.260902588424977
0007CB39B0,17,3,0.125,0.385824042441657,0.524753062724406,0.138929020282749
0007CA3D87,18,3,0.025,0.351933568267428,0.582297059041677,0.230363490774249
0007CB3395,19,3,0.075,0.53458480307542,0.734187304050976,0.199602500975556
0007CB6A8C,22,3,0.075,0.440795546292498,0.538090108176693,0.0972945618841951
0007CB6B2C,23,3,0.0125,0.41359929960013,0.528535642503689,0.114936342903558
0007CB24AD,24,3,0.0625,0.501592817717351,0.532343341525609,0.0307505238082583
0007CB24DA,25,3,0.1625,0.508638103433345,0.504964312851246,-0.00367379058209916
0007CA38FF,26,1,0.0652173913043478,0.334411698067923,0.571752317643309,0.237340619575386
0007CB357C,27,1,0.0652173913043478,0.363764411343116,0.654676407957263,0.290911996614147
0007CB239E,30,2,0.100917431192661,0.298416853490446,0.466448371564056,0.16803151807361
0007CB4123,31,2,0.055045871559633,0.313418300261448,0.456002412464395,0.142584112202947
0007CB42F2,32,2,0.128440366972477,0.466904027972596,0.42021549168086,-0.0466885362917362
0007CB08A5,33,1,0.16304347826087,0.302030695868734,0.409851855001695,0.107821159132961
0007CB6EA3,34,1,0.0869565217391304,0.395990570963633,0.731203769028399,0.335213198064766
0007CB0ABC,35,1,0.0543478260869565,0.337663386525989,0.472113962284096,0.134450575758108
0007CB1EC1,36,1,0.130434782608696,0.349672664556342,0.464636449996193,0.114963785439852
0007CA3A35,37,2,0,0.565067115344591,0.638369618419359,0.0733025030747683
0007CB330D,38,2,0.073394495412844,0.471334582005283,0.544820476627684,0.0734858946224006
0007CB2144,39,3,0.1875,0.385717882903566,0.580769057036419,0.195051174132853
0007CB0D91,40,2,0.220183486238532,0.787125677698679,0.685768700329556,-0.101356977369123
