animal_ID,block,block_label,lid
1,1,PRE,29273.5095870597
1,3,TEST 81-100,25649.1809706928
1,4,TEST 101-120,29809.145919919
1,5,TEST 121-140,32733.0832011324
1,6,TEST 141-160,33225.6595757051
2,1,PRE,32570.5194702164
2,3,TEST 81-100,30398.6053830995
2,4,TEST 101-120,26988.2105176357
2,5,TEST 121-140,31924.4618861593
2,6,TEST 141-160,31215.8400608698
3,1,PRE,28085.4644922472
3,3,TEST 81-100,32940.6365653741
3,4,TEST 101-120,32291.3945133587
3,5,TEST 121-140,29569.1913529579
3,6,TEST 141-160,30699.2989799924
4,1,PRE,27079.4551085752
4,3,TEST 81-100,24475.7849736255
4,4,TEST 101-120,28515.7656528985
4,5,TEST 121-140,31000.548218361
4,6,TEST 141-160,24241.2581216559
5,1,PRE,24474.5604878484
5,3,TEST 81-100,20185.1131756414
5,4,TEST 101-120,22412.3228697578
5,5,TEST 121-140,19921.8571630474
5,6,TEST 141-160,25353.8087683827
6,1,PRE,25264.3540835544
6,3,TEST 81-100,20633.8848054916
6,4,TEST 101-120,19741.9904624115
6,5,TEST 121-140,24932.0741101882
6,6,TEST 141-160,29781.8414092024
7,1,PRE,38990.6013673605
7,3,TEST 81-100,29143.5150425849
7,4,TEST 101-120,34910.8424171506
7,5,TEST 121-140,37813.1037231198
7,6,TEST 141-160,36561.3859912291
8,1,PRE,30409.2799726281
8,3,TEST 81-100,25704.8719144987
8,4,TEST 101-120,25937.9738997251
8,5,TEST 121-140,30014.6409810407
8,6,TEST 141-160,35791.5098570698
9,1,PRE,40640.6103616522
9,3,TEST 81-100,34471.1910670706
9,4,TEST 101-120,30719.4070718964
9,5,TEST 121-140,38019.1995642149
9,6,TEST 141-160,35888.1650155232
