AnimalID,AnimalNumber,ScanDay,Rank,Pre,Test,Delta_TestMinusPre
0007CA3BEA,11,3,8,0.612416763807136,0.476560551030258,-0.135856212776877
0007CB2246,12,3,10,0.380356051087591,0.411488215389552,0.0311321643019609
0007CB2584,13,3,3,0.601165575260599,0.641574459650338,0.0404088843897393
0007CB2275,14,3,2,0.474416559992899,0.502283612083166,0.0278670520902669
0007CB39B0,17,3,11,0.518690565574134,0.725213735636131,0.206523170061997
0007CA3D87,18,3,5,0.318258390967972,0.489096468764592,0.170838077796619
0007CB3395,19,3,4,0.356601315500101,0.579856157739704,0.223254842239604
0007CB6A8C,22,3,6,0.904820417465936,0.680435924508398,-0.224384492957538
0007CB6B2C,23,3,1,0.514969240545175,0.53109634576556,0.0161271052203845
0007CB24AD,24,3,7,0.622473428634289,0.289548182529107,-0.332925246105182
0007CB24DA,25,3,12,0.564310305104331,0.668635246052088,0.104324940947757
0007CA38FF,26,1,3,0.459412454675162,0.532210782587929,0.0727983279127662
0007CB357C,27,1,4,0.743930208938425,0.58839661211311,-0.155533596825315
0007CB239E,30,2,4,0.512295869202945,0.685041571271157,0.172745702068212
0007CB4123,31,2,3,0.335703668536641,0.48603515598154,0.150331487444899
0007CB42F2,32,2,8,0.442766562673316,0.473345065687003,0.0305785030136876
0007CB08A5,33,1,12,0.480971437715009,0.390032718531623,-0.0909387191833864
0007CB6EA3,34,1,6,0.41268964590001,0.445383338619887,0.032693692719877
0007CB0ABC,35,1,7,0.280392267406526,0.496929458964068,0.216537191557542
0007CB1EC1,36,1,11,0.367792173772727,0.601299832625995,0.233507658853268
0007CA3A35,37,2,1,0.589370111056093,0.582804908178402,-0.00656520287769136
0007CB330D,38,2,7,0.415270823159438,0.713456023927795,0.298185200768357
0007CB2144,39,3,9,0.532643761703929,0.614739251411999,0.0820954897080698
0007CB0D91,40,2,11,0.592842112441463,0.607313406020393,0.01447129357893
