AnimalID,AnimalNumber,Rank,BOLD_Pre,BOLD_Test,BOLD_TestMinusPre
0007CA3BEA,11,8,0.081890281295013,0.160326458854667,0.0784361775596543
0007CB2246,12,10,-0.628100975205598,0.222421845446141,0.850522820651739
0007CB2584,13,3,0.383785085419991,-0.285015513613221,-0.668800599033213
0007CB2275,14,2,0.488721455181284,-0.143621584464979,-0.632343039646262
0007CB39B0,17,11,-0.39018874726649,-0.240427707484092,0.149761039782399
0007CA3D87,18,5,0.157451385534452,-0.292661816324523,-0.450113201858975
0007CB3395,19,4,-0.0043643456447171,-0.0862762040945069,-0.0819118584497898
0007CB6A8C,22,6,-0.520441689678202,-0.0621408687085412,0.45830082096966
0007CB6B2C,23,1,0.0989116406750067,-0.135974463098267,-0.234886103773273
0007CB24AD,24,7,-0.323835331304248,0.07040218480792,0.394237516112168
0007CB24DA,25,12,-0.511667947950108,0.0976029763152318,0.609270924265339
0007CA38FF,26,3,0.705365330779127,-0.112269003626092,-0.817634334405219
0007CB357C,27,4,-0.00242630472972191,-0.41056033017646,-0.408134025446738
0007CB239E,30,4,0.290506752332606,0.00144338384935898,-0.289063368483247
0007CB4123,31,3,0.0573479484155541,-0.16311265083745,-0.220460599253004
0007CB42F2,32,8,0.165162952128282,0.295770313547109,0.130607361418827
0007CB08A5,33,12,-0.645606333123786,0.168761000245078,0.814367333368864
0007CB6EA3,34,6,-0.206244719068179,-0.0798896321339271,0.126355086934252
0007CB0ABC,35,7,-0.209000971039391,-0.0325052458915057,0.176495725147886
0007CB1EC1,36,11,-0.236893278132941,0.0471173205525182,0.284010598685459
0007CA3A35,37,1,-0.00511666567763314,0.0314498164483276,0.0365664821259608
0007CB330D,38,7,-0.252917695193901,-0.0622619088361327,0.190655786357768
0007CB2144,39,9,-0.2661838285151,0.0156015707304635,0.281785399245564
0007CB0D91,40,11,-0.276590941463447,0.15670002837734,0.433290969840787
