edge_from,edge_to,count_10,count_15,count_20,count_25,count_30,count_35,count_40,count_45,count_50
0,0.01,58416,55200,51936,48672,45456,42192,38976,35712,32496
0.01,0.02,0,0,0,0,0,0,0,0,0
0.02,0.03,0,0,0,0,0,0,0,0,0
0.03,0.04,0,0,0,0,0,0,0,0,0
0.04,0.05,0,0,0,0,0,0,0,0,0
0.05,0.06,0,0,0,0,0,0,0,0,0
0.06,0.07,0,0,0,0,0,0,0,0,0
0.07,0.08,0,0,0,0,0,0,0,0,0
0.08,0.09,0,0,0,0,0,0,0,0,0
0.09,0.1,0,0,0,0,0,0,0,0,0
0.1,0.11,0,0,0,0,0,0,0,0,0
0.11,0.12,0,0,0,0,0,0,0,0,0
0.12,0.13,0,0,0,0,0,0,0,0,0
0.13,0.14,0,0,0,0,0,0,0,0,0
0.14,0.15,0,0,0,0,0,0,0,0,46
0.15,0.16,0,0,0,0,0,0,0,0,38
0.16,0.17,0,0,0,0,0,0,0,0,34
0.17,0.18,0,0,0,0,0,0,0,6,82
0.18,0.19,0,0,0,0,0,0,0,28,68
0.19,0.2,2,2,2,2,2,2,2,48,194
0.2,0.21,2,2,2,2,2,2,2,78,244
0.21,0.22,2,2,2,2,2,2,18,92,238
0.22,0.23,0,0,0,0,0,0,42,160,346
0.23,0.24,0,0,0,0,0,0,56,146,340
0.24,0.25,0,0,0,0,0,0,88,274,386
0.25,0.26,0,0,0,0,0,26,116,298,424
0.26,0.27,0,0,0,0,0,44,148,362,482
0.27,0.28,2,2,2,2,2,76,224,356,538
0.28,0.29,0,0,0,0,0,72,234,316,452
0.29,0.3,0,0,0,0,28,144,356,460,638
0.3,0.31,0,0,0,0,46,216,340,510,800
0.31,0.32,0,0,0,0,54,152,250,412,782
0.32,0.33,2,2,2,2,50,262,346,490,824
0.33,0.34,2,2,2,16,168,344,436,700,858
0.34,0.35,4,4,4,24,160,254,414,808,812
0.35,0.36,2,2,2,44,220,308,444,772,772
0.36,0.37,2,2,2,62,222,284,560,844,844
0.37,0.38,10,10,10,112,262,354,768,812,812
0.38,0.39,4,4,8,170,274,412,730,730,730
0.39,0.4,4,4,32,188,294,552,812,812,812
0.4,0.41,6,6,46,248,306,580,764,764,764
0.41,0.42,0,0,98,278,338,756,774,774,774
0.42,0.43,8,8,124,238,398,760,760,760,760
0.43,0.44,4,6,140,220,496,726,726,726,726
0.44,0.45,12,34,172,242,514,634,634,634,634
0.45,0.46,12,24,162,294,648,652,652,652,652
0.46,0.47,14,54,232,394,728,728,728,728,770
0.47,0.48,10,72,190,412,632,632,632,632,684
0.48,0.49,16,116,234,510,646,646,646,646,684
0.49,0.5,10,134,262,546,598,598,598,648,650
0.5,0.51,26,148,316,608,608,608,608,674,674
0.51,0.52,16,156,310,618,618,618,638,658,658
0.52,0.53,38,184,340,466,466,466,506,506,506
0.53,0.54,36,176,464,550,550,550,606,606,606
0.54,0.55,72,182,476,514,514,526,544,544,544
0.55,0.56,94,286,568,568,568,608,608,608,608
0.56,0.57,106,304,506,506,506,546,546,546,546
0.57,0.58,122,326,490,490,492,536,536,536,536
0.58,0.59,128,328,418,418,482,482,482,482,482
0.59,0.6,168,384,438,438,476,476,476,476,476
0.6,0.61,150,380,416,452,482,482,482,482,482
0.61,0.62,184,452,454,492,492,492,492,492,492
0.62,0.63,214,430,430,476,476,476,476,476,476
0.63,0.64,224,378,404,420,420,420,420,420,420
0.64,0.65,234,352,384,384,384,384,384,384,384
0.65,0.66,252,308,364,364,364,364,364,364,364
0.66,0.67,366,386,408,408,408,408,408,408,408
0.67,0.68,314,354,354,354,354,354,354,354,354
0.68,0.69,276,298,298,298,298,298,298,298,298
0.69,0.7,334,374,374,374,374,374,374,374,374
0.7,0.71,264,286,286,286,286,286,286,286,286
0.71,0.72,276,276,276,276,276,276,276,276,276
0.72,0.73,216,216,216,216,216,216,216,216,216
0.73,0.74,266,266,266,266,266,266,266,266,266
0.74,0.75,210,210,210,210,210,210,210,210,210
0.75,0.76,226,226,226,226,226,226,226,226,226
0.76,0.77,208,208,208,208,208,208,208,208,208
0.77,0.78,162,162,162,162,162,162,162,162,162
0.78,0.79,134,134,134,134,134,134,134,134,134
0.79,0.8,136,136,136,136,136,136,136,136,136
0.8,0.81,122,122,122,122,122,122,122,122,122
0.81,0.82,132,132,132,132,132,132,132,132,132
0.82,0.83,78,78,78,78,78,78,78,78,78
0.83,0.84,96,96,96,96,96,96,96,96,96
0.84,0.85,88,88,88,88,88,88,88,88,88
0.85,0.86,72,72,72,72,72,72,72,72,72
0.86,0.87,50,50,50,50,50,50,50,50,50
0.87,0.88,44,44,44,44,44,44,44,44,44
0.88,0.89,52,52,52,52,52,52,52,52,52
0.89,0.9,58,58,58,58,58,58,58,58,58
0.9,0.91,46,46,46,46,46,46,46,46,46
0.91,0.92,24,24,24,24,24,24,24,24,24
0.92,0.93,16,16,16,16,16,16,16,16,16
0.93,0.94,4,4,4,4,4,4,4,4,4
0.94,0.95,10,10,10,10,10,10,10,10,10
0.95,0.96,6,6,6,6,6,6,6,6,6
