edge_from,edge_to,count_10,count_15,count_20,count_25,count_30,count_35,count_40,count_45,count_50
0,0.01,58416,55200,51936,48672,45456,42192,38976,35712,32448
0.01,0.02,0,0,0,0,0,0,0,0,0
0.02,0.03,0,0,0,0,0,0,0,0,0
0.03,0.04,0,0,0,0,0,0,0,0,0
0.04,0.05,0,0,0,0,0,0,0,0,0
0.05,0.06,0,0,0,0,0,0,0,0,24
0.06,0.07,0,0,0,0,0,0,0,0,42
0.07,0.08,0,0,0,0,0,0,0,0,44
0.08,0.09,0,0,0,0,0,0,0,6,32
0.09,0.1,0,0,0,0,0,0,0,46,82
0.1,0.11,0,0,0,0,0,0,0,36,76
0.11,0.12,0,0,0,0,0,0,0,28,104
0.12,0.13,0,0,0,0,0,0,28,50,118
0.13,0.14,0,0,0,0,0,0,40,70,158
0.14,0.15,0,0,0,0,0,0,40,86,220
0.15,0.16,0,0,0,0,0,6,32,110,324
0.16,0.17,0,0,0,0,0,26,26,126,418
0.17,0.18,0,0,0,0,0,32,56,174,418
0.18,0.19,0,0,0,0,0,20,76,266,452
0.19,0.2,0,0,0,0,0,48,174,452,570
0.2,0.21,0,0,0,0,24,36,150,420,552
0.21,0.22,0,0,0,0,20,56,218,426,534
0.22,0.23,2,2,2,2,42,120,330,484,564
0.23,0.24,0,0,0,0,36,128,388,520,614
0.24,0.25,2,2,2,6,20,150,350,438,574
0.25,0.26,0,0,0,26,84,264,450,540,684
0.26,0.27,0,0,0,26,94,346,504,626,750
0.27,0.28,0,0,0,22,116,324,486,614,754
0.28,0.29,0,0,0,28,172,392,456,596,714
0.29,0.3,0,0,8,84,278,446,564,680,740
0.3,0.31,0,0,28,82,292,448,584,694,780
0.31,0.32,2,2,24,126,314,424,570,706,828
0.32,0.33,0,0,24,174,364,564,670,768,828
0.33,0.34,0,0,26,232,364,548,634,676,804
0.34,0.35,2,2,52,210,398,508,608,682,740
0.35,0.36,0,0,72,284,454,556,652,730,772
0.36,0.37,6,16,112,354,514,592,656,762,762
0.37,0.38,4,28,168,278,436,500,586,688,688
0.38,0.39,2,16,200,336,452,578,632,696,696
0.39,0.4,2,12,210,354,474,554,646,674,674
0.4,0.41,0,20,262,460,522,592,716,716,716
0.41,0.42,4,120,318,474,572,634,748,748,748
0.42,0.43,4,116,278,394,490,580,612,612,612
0.43,0.44,14,162,300,436,504,592,598,598,598
0.44,0.45,4,206,354,454,550,678,678,678,678
0.45,0.46,10,188,368,434,526,594,594,594,594
0.46,0.47,18,200,338,430,530,560,560,560,560
0.47,0.48,28,226,354,436,522,532,532,532,532
0.48,0.49,68,224,330,426,522,522,522,522,522
0.49,0.5,96,278,400,508,556,556,556,556,556
0.5,0.51,128,266,386,490,526,526,526,526,526
0.51,0.52,160,342,422,506,520,520,520,520,520
0.52,0.53,134,274,350,460,460,460,460,460,460
0.53,0.54,138,320,414,466,466,466,466,466,466
0.54,0.55,144,262,356,384,384,384,384,384,384
0.55,0.56,210,306,402,434,434,434,434,434,434
0.56,0.57,184,276,368,376,376,376,376,376,376
0.57,0.58,232,318,408,408,408,408,408,408,408
0.58,0.59,236,318,354,354,354,354,354,354,354
0.59,0.6,248,338,354,354,354,354,354,354,354
0.6,0.61,266,364,392,392,392,392,392,392,392
0.61,0.62,204,274,288,288,288,288,288,288,288
0.62,0.63,220,292,310,310,310,310,310,310,310
0.63,0.64,254,308,308,308,308,308,308,308,308
0.64,0.65,232,280,280,280,280,280,280,280,280
0.65,0.66,262,296,296,296,296,296,296,296,296
0.66,0.67,220,242,242,242,242,242,242,242,242
0.67,0.68,228,236,236,236,236,236,236,236,236
0.68,0.69,206,218,218,218,218,218,218,218,218
0.69,0.7,216,234,234,234,234,234,234,234,234
0.7,0.71,178,196,196,196,196,196,196,196,196
0.71,0.72,184,188,188,188,188,188,188,188,188
0.72,0.73,166,166,166,166,166,166,166,166,166
0.73,0.74,186,186,186,186,186,186,186,186,186
0.74,0.75,166,166,166,166,166,166,166,166,166
0.75,0.76,146,146,146,146,146,146,146,146,146
0.76,0.77,126,126,126,126,126,126,126,126,126
0.77,0.78,124,124,124,124,124,124,124,124,124
0.78,0.79,108,108,108,108,108,108,108,108,108
0.79,0.8,86,86,86,86,86,86,86,86,86
0.8,0.81,96,96,96,96,96,96,96,96,96
0.81,0.82,96,96,96,96,96,96,96,96,96
0.82,0.83,70,70,70,70,70,70,70,70,70
0.83,0.84,64,64,64,64,64,64,64,64,64
0.84,0.85,54,54,54,54,54,54,54,54,54
0.85,0.86,66,66,66,66,66,66,66,66,66
0.86,0.87,22,22,22,22,22,22,22,22,22
0.87,0.88,44,44,44,44,44,44,44,44,44
0.88,0.89,26,26,26,26,26,26,26,26,26
0.89,0.9,36,36,36,36,36,36,36,36,36
0.9,0.91,20,20,20,20,20,20,20,20,20
0.91,0.92,12,12,12,12,12,12,12,12,12
0.92,0.93,2,2,2,2,2,2,2,2,2
0.93,0.94,8,8,8,8,8,8,8,8,8
0.94,0.95,4,4,4,4,4,4,4,4,4
