Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,0,0,-0,-0,0,-2.78169467635322,-0,-0,-2.79568578581888,-0,-0,0,-0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,0,-0,0,-0,-0
OF,0,0,0,0,0,2.45344407901684,3.05257662417845,0,2.58419570003509,0,-0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,0,0,3.13267765808757,2.11103774522306,0,2.50842481442117,0,-0,-0,-0,0,-0,-0,0,0,0,2.68281227088731
PL,0,0,0,0,0,4.31974640560943,4.06374489863433,0,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,-0,-0,0,-0,2.24752307068827,2.22491147573335,2.60468445636976,3.60424307895359,2.6697918136256,2.92719837893977,2.23155273084632,0,0,0,0,0,0,0,-0,0,2.76402308299612,3.82552309025169
IL,-0,0,0,0,0,2.55787804162627,2.93388837951234,0,2.0150021265015,0,0,-0,0,0,-0,0,-0,0,0,0,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,0,-0,0,2.66616324594577,2.38408497896428,3.26974888161031,3.13737067360724,3.10152937553305,2.35012364085485,0,-0,0,0,0,-0,0,-0,0,2.33790904882689,3.05163364882209
Cing,-0,0,0,0,0,0,2.19040284343362,0,0,3.17587626029687,0,-0,-0,-0,0,-0,-0,0,0,0,0,-0,-0,-0,0,-0,0,-0,-0,0,-0,0,0,0,0,2.05711730640232,0,2.71427776923516,3.21342978299668,3.24409219070913,2.20947024619784,0,0,0,0,0,0,0,-0,0,0,0
Th_PM,0,2.45344407901684,4.31974640560943,2.55787804162627,0,0,-0,-0,3.3734628066566,0,-0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,-0,0,0,2.22174666589247,-0,0,-0,0,0,0,0,0,0,-0,-0,-0,0,0,-0,-0,0,-0,0
Th_SM,-0,3.05257662417845,4.06374489863433,2.93388837951234,2.19040284343362,-0,0,0,2.26932077637667,0,-0,0,2.86805906690624,-0,-0,0,2.29291859276042,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,-0
M1,-0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,-0,0,0,0,0,-0,2.17024669368908,2.83285791359986,0,2.07084653702402,0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,-0,-0,0,-0,0,2.13574462401543,0,0,-0
M2,0,2.58419570003509,0,2.0150021265015,0,3.3734628066566,2.26932077637667,0,0,2.4750978701184,0,0,0,-0,-0,0,0,2.92089494805705,0,3.52792339246957,4.30835485835132,0,0,-0,0,0,0,-0,-0,0,0,0,-0,0,0,3.1905281100514,2.31807543960455,2.03390289185121,2.6058442384818,2.40361611709101,2.56947395405628,-0,-0,0,0,2.2063053829,0,0,0,0,0,0
S1,0,0,0,0,3.17587626029687,0,0,-0,2.4750978701184,0,0,0,0,-0,-0,-0,0,2.17013520354051,0,3.59003158978993,3.25492888473846,0,0,-0,-0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-2.21309480111788,-0,-0,0,0,-0,0,0,0,-0
