Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,-0,0,0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0
OF,-0,0,2.45746686595219,2.19371074743156,0,2.15698755053597,2.27161653414957,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0
PL,-0,2.45746686595219,0,2.26338576313269,0,4.7515981794975,3.51094648975967,0,0,0,0,-0,0,0,0,0,0,4.19598590036665,0,0,2.43175942521932,0,0,0,0,-0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,2.44883839898975,0,-0,0,0,0,0,0,-0,0,0,0,0
IL,-0,2.19371074743156,2.26338576313269,0,0,2.7259159227074,0,-0,0,0,0,0,-0,0,0,0,-0,0,2.44525641602027,0,2.28956890690027,0,0,0,-0,0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,0,0,0,-0,-0,-0,0,0,0,0
Cing,-0,0,0,0,0,4.56469073195616,3.24227419422596,-0,0,2.10164766978267,0,2.19662800135543,-0,0,0,0,0,0,-0,0,3.09487046306024,0,0,0,0,0,-0,0,0,0,-0,-0,0,0,-0,2.67434057802605,0,0,0,0,0,-0,0,-0,0,0,0,-0,-0,2.28682510634903,0,0
Th_PM,-0,2.15698755053597,4.7515981794975,2.7259159227074,4.56469073195616,0,3.22268784999207,0,3.83158687415388,2.48208677028625,0,3.37615530655997,0,0,0,2.90886458904159,3.4867633227447,0,3.14380020828212,3.46809641002025,2.28709262153548,-0,-0,0,-0,0,0,0,0,0,-0,0,0,0,-0,2.32060995890724,0,0,0,2.27248232520633,0,-0,0,0,0,0,0,0,0,0,0,-0
Th_SM,-0,2.27161653414957,3.51094648975967,0,3.24227419422596,3.22268784999207,0,0,0,2.73014508390902,0,0,0,0,-0,2.14061116187158,0,-0,2.44680856616301,2.96543297253177,0,-0,0,-0,0,0,-0,0,0,0,0,0,0,-0,-0,2.27662985994186,0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,0,-0
M1,0,-0,0,-0,-0,0,0,0,0,-0,0,0,0,0,-0,0,0,-0,-0,-0,0,0,-0,0,-0,0,0,0,-0,-0,0,0,0,0,-0,-0,-0,0,0,0,0,0,-0,-0,0,-0,-0,0,0,0,0,-0
M2,-0,0,0,0,0,3.83158687415388,0,0,0,2.82478270668285,0,0,0,0,0,0,0,0,-0,2.64993983248014,2.44248491309143,0,-0,-0,-0,0,0,0,-0,0,-0,-0,-0,-2.12824630961609,-0,3.37000022605774,-0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0
S1,-0,0,0,0,2.10164766978267,2.48208677028625,2.73014508390902,-0,2.82478270668285,0,0,0,0,0,0,0,0,0,0,5.05155818650863,0,0,0,-0,-0,0,0,0,0,-0,0,0,0,0,-0,2.18265983727615,-0,-0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0,0
