Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,0,-0,-0,0,0,-0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,-0,0,-0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,-0,-0,-0,0,-0
OF,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,2.21172718167099,0,0,0,0,-0,-0,0,0,3.44220497001837,0,-0,-0,-0,-3.30886554672362,-0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,-0,0,0,0,0,-0
PL,-0,0,0,0,0,-0,-0,-0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,-0,-0,-0,-2.23320901055928,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-3.00754768640906
IL,0,0,0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,2.27496415783387,0,0,0,0,0,0,-0,0,0,0,0,-0,-0,0,-0,-2.1485121658488,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,0,-2.85445396377525
Cing,-0,0,0,0,0,0,0,0,-0,0,-0,2.83105187278608,0,0,-0,2.08628120077584,2.35901005141422,0,2.19254083324948,0,0,0,-0,0,0,0,0,0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,0,0,0,-0
Th_PM,-0,0,-0,0,0,0,2.24595901718624,0,0,4.18558516659836,2.80776008371798,0,0,-0,0,0,0,0,2.73367741952186,2.9532768760132,0,0,2.44984893958652,-0,0,0,0,-0,0,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2.32400595173068,0,0,0,0,0,0,-0
Th_SM,0,0,-0,0,0,2.24595901718624,0,0,0,2.62571334323574,2.46557017694857,0,0,0,-0,0,0,0,2.91000897645533,2.48101742327556,0,0,0,-0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,-0
M1,0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,-2.42544408228688,-0,-0,-0,-0,0,0,-0,-0,-2.87137095181626,-0,-0,0,-0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,-2.68906189983868,-2.18669212117866,-0,-0,-0
M2,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,0,0,-0,-0,0,-0,-0,0,-0,0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0
S1,0,0,0,0,0,4.18558516659836,2.62571334323574,0,-0,0,0,0,0,2.10042657440452,0,0,0,0,3.17354988169579,0,0,0,-0,-0,0,2.33426738929624,0,-0,0,-0,-0,-0,-0,-0,2.45001896327588,0,2.07921401941269,0,0,2.21606452036519,0,0,0,0,0,0,0,-0,-0,0,2.46170306048637,0
