Region,T_TEST_minus_PRE,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom
FP,-1.24380947829658,0.226097951076358,0,0,23
OF,3.05498472122322,0.00561454724000989,1,1,23
PL,5.02823825322182,4.34907979881893e-05,1,1,23
IL,3.91521013373561,0.000694237336443279,1,1,23
Cing,6.05741646524453,3.53601528781018e-06,1,1,23
Th_PM,6.21859252807567,2.40896795582846e-06,1,1,23
Th_SM,4.92752053660244,5.58313835894962e-05,1,1,23
M1,1.49753867085192,0.147852329309534,0,0,23
M2,4.95767037154582,5.18061786624693e-05,1,1,23
S1,5.38997905275619,1.78224377225796e-05,1,1,23
S2,1.21221011615006,0.237737810611416,0,0,23
OB,3.07933790701133,0.00530062657870258,1,1,23
AON,1.96713425818339,0.061344262277071,0,0,23
Otu,-1.58958995660256,0.125580177368701,0,0,23
Pir,-1.46285293021443,0.157039704268958,0,0,23
DPA,3.7206372514037,0.00112278806053531,1,1,23
TT,3.03616127233676,0.00586935162113014,1,1,23
Sept,4.05101856475588,0.00049556837194879,1,1,23
Nacc,4.37809198348639,0.000219399417185433,1,1,23
CP,5.40425569909585,1.72091506188374e-05,1,1,23
Pall,5.73097660981666,7.75856143429436e-06,1,1,23
VP,1.06681645634707,0.297125391964364,0,0,23
Cl,0.0143288767169288,0.988691172173781,0,0,23
Amyg,-2.98307479279047,0.00664913946489592,1,1,23
ZI,-0.0382956691817712,0.969782407440382,0,0,23
I_dors,2.95050578857863,0.00717566747156923,1,1,23
I_ventr,1.12842521124594,0.270773876762046,0,0,23
I_post,-1.46080282748823,0.157596866462266,0,0,23
Gust,-0.833755606830084,0.412994273827834,0,0,23
Visc,-1.15040311845705,0.261798729409959,0,0,23
Perih,-2.20979881786992,0.0373463468567137,1,0,23
Ect,-0.648485902732051,0.523093146396372,0,0,23
Ent,0.377188003891751,0.70949182408568,0,0,23
Temp,-1.15264726939579,0.260894754332798,0,0,23
ParAss,1.60359080379087,0.122449724519276,0,0,23
RS,5.21932847917495,2.71182226794257e-05,1,1,23
CA,2.35882260772525,0.0272029936080182,1,0,23
DG,2.2521860081325,0.0341576292148045,1,0,23
Sub,4.24278629870049,0.00030744342546176,1,1,23
SC,3.92637449013071,0.000675290113564775,1,1,23
PAG,3.41389556737328,0.00237708307059695,1,1,23
VTA,0.870271924751884,0.393144361422896,0,0,23
SN,-4.06555973583777,0.00047797253417854,1,1,23
NclR,0.2657082191622,0.792831148111741,0,0,23
RN,0.491725566676985,0.62757358870213,0,0,23
MB,3.9708536306501,0.000604753292269555,1,1,23
Pons,0.422119663884079,0.67685739573478,0,0,23
Periv,-0.849975949236536,0.404099955200192,0,0,23
Hyp,-0.327850074183221,0.745990765978514,0,0,23
Aud,3.12922014317644,0.00470951250003474,1,1,23
V,2.28016289856141,0.0321909415725881,1,0,23
IC,0.603931329756555,0.551800135346003,0,0,23
