,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,1,0.355028762450079,0.219070536654606,0.143042463462049,0.163470006692726,0.212946472452611,0.149476746073692,0.184987381995942,0.365040894444323,0.114964102325073,0.209368693610796,0.199917050396358,-0.0456330192811242,-0.0703824936636755,0.121066520682881,0.138478920769041,0.137217075707441,0.0591377882310448,0.0360605545084734,0.224866246334481,0.0945822642715194,0.0619209596603723,0.197818753945379,0.0896338899574936,-0.0343577052894015,0.173403966600293,0.0805035510022091,0.188608663424054,0.163486297918954,0.239286556413518,0.0965558635261124,0.0970271109241145,-0.067242862005942,0.0697928147780258,0.0280622123430371,0.0693820393459564,-0.0137189870663732,0.0130882497328634,-0.0570586613323599,0.0970072867431888,0.0585612257308957,-0.0190185189511901,-0.0163507012406242,0.0272711072318016,-0.0036276740627236,0.0642364935622503,-0.112672470496537,-0.0297388807623188,0.017900527095556,0.0174408053777982,0.137563706231384,0.166110810940157
OF,0.355028762450079,1,0.711721517029731,0.774965987527834,0.597944586813662,0.439826223429309,0.374325108440801,0.374973375243188,0.493130849108833,0.404281946931901,0.246417719778586,0.547319814053704,0.500443227851227,-0.0475196585369388,0.172704384664205,0.677615138899802,0.703021187589713,0.502064618456123,0.397370702669784,0.464017010333214,0.36526884045861,0.10489376568041,0.312886052717325,0.0732264029485871,0.169798337644277,0.396360950874708,0.335930507604578,0.106180844717069,0.190706487505746,0.139805792422837,0.100676480899067,0.152483809743295,0.0698754058010131,0.097382414170559,0.207953725399493,0.321056669975572,0.205819522820805,0.142139753327325,0.101308656632536,0.237147938443311,0.173253761268009,0.119522235566478,0.0325328892087147,0.0578245155058342,0.0914384458093509,0.215911370752195,0.0597645388039629,0.0500210726801235,0.131976638445318,0.244439531401404,0.136132318808373,0.17147298363433
PL,0.219070536654606,0.711721517029731,1,0.800656313679074,0.741361587238563,0.415425109272237,0.366706059273914,0.332205195792246,0.56720814813513,0.423870688501653,0.229836440677401,0.420550698050085,0.370058305876665,-0.141560623223328,0.0822656652408757,0.555699092784254,0.548344230140393,0.471568511715357,0.244385917405376,0.39428903085637,0.309877573478495,0.058053675209848,0.196593064078003,0.0917430560309501,0.195250004486487,0.119298057095719,0.114844131148289,0.0634116218488379,0.0631722771636567,0.0885847341129126,0.126416985056026,0.199120789811839,0.151861760712868,0.148768325086258,0.240392017851043,0.306094339188796,0.199903047251956,0.164532483399193,0.107852552540523,0.264618833355934,0.220121288917657,0.101120892882206,0.0512052441200603,0.0610542337676644,0.10761183653978,0.232788241935467,0.0784080576174312,0.0365096852392559,0.130320565080528,0.285976986770782,0.0647465647074372,0.178582479457785
IL,0.143042463462049,0.774965987527834,0.800656313679074,1,0.680193061223584,0.413511651016348,0.355000531602837,0.322531768178714,0.394852726247686,0.406652931525181,0.192866073794461,0.436190074183421,0.452831674626281,-0.0598366409581753,0.0927676863212417,0.759592065430065,0.694243361471675,0.595108507599325,0.372253378640853,0.421214261278317,0.389400851690292,0.130839673510682,0.246147595507921,0.0442893045074354,0.201935442287139,0.24650860715147,0.225972806549928,0.0687715345825966,0.10858855487281,0.0458672926998207,0.0764345359409501,0.153348355375389,0.127153627893214,0.11450993259755,0.229386571951724,0.316352831784915,0.207922682771836,0.0998153347284138,0.111309007106265,0.241076392404332,0.200445946915052,0.102798678288293,-0.0134861464583013,0.00533972626323727,0.0407046735442414,0.180468718315879,0.0820861658485325,0.0730984380006677,0.162055590391036,0.314585066815005,0.0589944986413191,0.12955161520205
Cing,0.163470006692726,0.597944586813662,0.741361587238563,0.680193061223584,1,0.531099125480532,0.473126667758457,0.394138302806854,0.562294542036808,0.517556272702285,0.228914005994409,0.359276142941747,0.334375705588083,0.00167116031573765,0.183538752874934,0.4752883716015,0.489344611209405,0.53587573052527,0.283448073070119,0.488689786207067,0.399697399262907,0.13453396796966,0.235017400665321,0.15804569771117,0.310218402173971,0.228027939912502,0.249456793934942,0.134687805782705,0.102839799150409,0.0988128326206266,0.125246465423104,0.186949451999025,0.0795130139700196,0.146580306688454,0.309971675294019,0.48862915780633,0.295403089384478,0.187389331410999,0.073492952678288,0.267512723190296,0.199354133963084,0.143508092213491,0.051863951454383,0.0474402853298866,0.0602152464288537,0.217838751190106,0.021884432061284,0.0704719481953852,0.218936408755155,0.358328664461069,0.102851232145581,0.0873472582867175
Th_PM,0.212946472452611,0.439826223429309,0.415425109272237,0.413511651016348,0.531099125480532,1,0.843528034719407,0.45694996189418,0.413141822782038,0.524582305817167,0.341687925421522,0.270105092747884,0.179843911311871,0.0951644649917022,0.296005519463094,0.347326020329608,0.350588938024612,0.447628400692743,0.325928584289642,0.544279728592098,0.42734030653486,0.221869848606534,0.356735434886095,0.304541009744344,0.485871939226018,0.378956856644291,0.274680246756995,0.245323452690753,0.258076454604289,0.252150849305699,0.272531342131084,0.285821166217174,-0.0542498713808247,0.274297415239889,0.257830930493162,0.433774330058278,0.261869512858259,0.248355976039327,-0.0317453430431946,0.285670266465639,0.192504582847645,0.276135088102237,0.0442314322419027,0.0932287174272187,0.0950822919310107,0.301770947500386,-0.0903184174692805,0.117811506962848,0.338677571818067,0.38138449524705,0.270017429186406,0.164565644237605
Th_SM,0.149476746073692,0.374325108440801,0.366706059273914,0.355000531602837,0.473126667758457,0.843528034719407,1,0.434340824525119,0.391606452607058,0.492564881239114,0.265549394492801,0.204789069746782,0.184613947661096,0.124558671259386,0.316831698869043,0.298679065321398,0.333951507098676,0.387708484260284,0.281672120009155,0.465331953505092,0.380965786649824,0.182727718157552,0.308161327519277,0.387817015440802,0.589973207469419,0.328264995529259,0.258650396245178,0.212056194910418,0.226524206394585,0.192723912541284,0.338356022200586,0.345617405025327,0.0176456940271437,0.322738776386124,0.276071561424625,0.444164085001451,0.342490965293728,0.266433445598605,0.0021638342879089,0.27270640695029,0.186937368910864,0.249498030549249,0.0722063958303407,0.111570069727391,0.11697070397693,0.28855088118511,-0.0801016928067915,0.118110788636849,0.367914296751502,0.399376964241716,0.264033273468267,0.169774570999328
M1,0.184987381995942,0.374973375243188,0.332205195792246,0.322531768178714,0.394138302806854,0.45694996189418,0.434340824525119,1,0.562705543448356,0.669320477265371,0.55769878872794,0.178091834613599,0.117205439881007,0.112190887644384,0.327072903473104,0.269809580649813,0.24886458251345,0.375883327392621,0.288888804961835,0.576384974068347,0.375171047244657,0.253238818501465,0.481699290359287,0.234122732112398,0.175495125285203,0.509353128018669,0.309908489994806,0.383147452416559,0.646270248485179,0.421393344914411,0.152391513619381,0.212834142830825,0.0660466001010989,0.183588436148165,0.120208824384896,0.249133692477288,0.117982998277275,0.158828285426836,0.0337104990131395,0.208531878702634,0.12107508372686,0.207463091475951,0.103266608863332,0.135414432716958,0.228755367851658,0.288645302119222,0.0768707840044318,0.0229607056449946,0.219107780554934,0.230807911942327,0.172603070647123,0.198629991532593
M2,0.365040894444323,0.493130849108833,0.56720814813513,0.394852726247686,0.562294542036808,0.413141822782038,0.391606452607058,0.562705543448356,1,0.480960798619544,0.37589663965394,0.338180965768325,0.190521147734517,-0.0584736696027959,0.185259058876635,0.303413378168661,0.341915990985973,0.250446911071625,0.151962367346089,0.368195823765342,0.222825038188095,0.0630219432636643,0.238361757747429,0.250107858492404,0.21634801035307,0.146924749007032,0.081922411580774,0.135325872133226,0.192440355622132,0.206744532397318,0.228915390516642,0.275496044094489,0.16877248889693,0.221429547416564,0.129434791777909,0.256721950086592,0.174057463972093,0.186187565613862,0.0970775784122377,0.240852742818323,0.163690850605682,0.152775472625839,0.180886642046937,0.180037607878825,0.219144223358974,0.32307991390785,0.12872110975426,0.000725644267862652,0.135145159426598,0.202070053109244,0.116514999122445,0.246679101744028
S1,0.114964102325073,0.404281946931901,0.423870688501653,0.406652931525181,0.517556272702285,0.524582305817167,0.492564881239114,0.669320477265371,0.480960798619544,1,0.662236674785679,0.265946350398818,0.144597049525064,0.127793014764523,0.368746260455736,0.321517968882927,0.322013056123978,0.41315417498886,0.315948225076496,0.609020345043303,0.337447313065113,0.304213548461956,0.466319337102188,0.263835726812409,0.23618330945621,0.395174241333671,0.301554641849205,0.336927655918023,0.451249608520836,0.420005027159227,0.231009617986208,0.294604750180872,0.162917871603906,0.272426960849747,0.297929089597812,0.397616544032313,0.253394505698547,0.203307312277746,0.0731820518753426,0.242746269240097,0.19548694733999,0.243990754315241,0.105259513875328,0.104566863956666,0.197429045756962,0.299309784736334,0.0995465744932441,0.0130852037196066,0.235236783794129,0.427126002300546,0.149490174477639,0.144594706389679
