SubjectIndex,Pre_Conditioning,Test_Conditioning,Pre_Control,Test_Control,FCdiff_Conditioning,FCdiff_Control
1,0.343097868064555,0.346204281044366,0.26235808804942,0.298242748565441,0.00310641297981062,0.0358846605160213
2,0.306043146240047,0.30395009291795,0.248718283591265,0.263271068819842,-0.00209305332209686,0.0145527852285773
3,0.361559532962784,0.338366243564807,0.330203523704931,0.318210608375693,-0.0231932893979771,-0.0119929153292384
4,0.327751725026106,0.327220566961282,0.338586872522265,0.282108934392496,-0.000531158064824788,-0.0564779381297695
5,0.389166118944966,0.332602370609707,0.256870374257808,0.318354512307303,-0.056563748335259,0.0614841380494953
6,0.271418486545324,0.329056107636965,0.28483136017522,0.310500311440105,0.0576376210916411,0.0256689512648842
7,0.321260764425283,0.35427186120231,0.31966940920054,0.373513671126651,0.0330110967770263,0.0538442619261107
8,0.434457528289224,0.367481724966544,0.308081132980157,0.295371400488774,-0.0669758033226801,-0.0127097324913826
9,0.389216995684777,0.387341491853746,0.327521600317119,0.286249897914016,-0.00187550383103119,-0.0412717024031036
10,0.393286451959095,0.24917619791948,0.298166341602236,0.261435541323828,-0.144110254039615,-0.0367308002784077
11,0.345557174627853,0.336405090333218,0.300994149868782,0.263205004155982,-0.00915208429463499,-0.0377891457127998
12,0.34569642269675,0.346998358157107,0.255383427834969,0.269246077804883,0.00130193546035645,0.0138626499699139
13,0.402175173922032,0.3515862268366,0.294839372808029,0.333105819316178,-0.0505889470854313,0.0382664465081492
14,0.373298481907428,0.356020728317424,0.281261375254367,0.310936988959419,-0.0172777535900042,0.0296756137050524
15,0.297045075766176,0.297672169646451,0.27222378548876,0.282824055163404,0.000627093880275487,0.0106002696746441
16,0.319589343742932,0.291108555081864,0.284591783348598,0.304718243072953,-0.0284807886610686,0.020126459724355
17,0.36456513511642,0.296494461180856,0.387417004209272,0.344060952841802,-0.0680706739355635,-0.04335605136747
18,0.295327867856993,0.346649362414828,0.304577304019355,0.280814814028469,0.0513214945578354,-0.0237624899908852
19,0.263163556658328,0.314412623225819,0.338661327355882,0.411948403891663,0.0512490665674903,0.073287076535781
20,0.286852799520532,0.315233033605407,0.300141943639977,0.295365248928847,0.0283802340848753,-0.0047766947111294
21,0.329465107871403,0.347913539672241,0.327299997221979,0.376607278079268,0.0184484318008378,0.0493072808572887
22,0.321574348440225,0.342887954431332,0.285604166087178,0.303077440093374,0.0213136059911065,0.0174732740061959
23,0.332627006548988,0.339970477809494,0.379273653515909,0.351844533733808,0.00734347126050605,-0.0274291197821015
24,0.334471860271008,0.345357262939968,0.31151688556171,0.312657584927492,0.0108854026689604,0.00114069936578165
