Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
FP,0.470938995274855,-0.470938995274855,0.639910013514384,0,0,46,24,24,0.516687172718901,-0.126719193492728
OF,1.01046682104578,-1.01046682104578,0.317557502774906,0,0,46,24,24,2.25577108093816,1.0491889352301
PL,-0.187062254211065,0.187062254211065,0.852434452066611,0,0,46,24,24,0.988892076284504,1.20708065199749
IL,0.114169381854796,-0.114169381854796,0.909600391752507,0,0,46,24,24,1.70909440458197,1.5893377113939
Cing,-0.269117864690342,0.269117864690342,0.789042428866614,0,0,46,24,24,0.829003310743541,1.15684800067671
Th_PM,-0.281261947558148,0.281261947558148,0.779770842484498,0,0,46,24,24,1.48859263842975,1.76369577243506
Th_SM,-0.631832816083724,0.631832816083724,0.530623864375016,0,0,46,24,24,0.882336801064169,1.646292284712
M1,2.41399155610549,-2.41399155610549,0.0198162451613078,1,0,46,24,24,0.865526709264037,-2.34033955189432
M2,1.79746832405515,-1.79746832405515,0.0788273586195456,0,0,46,24,24,1.81797133172398,-0.825938704943307
S1,2.21928709731567,-2.21928709731567,0.0314387727365829,1,0,46,24,24,2.49350832466919,-0.142647642116064
S2,0.634589722975212,-0.634589722975212,0.528839727851845,0,0,46,24,24,-1.05410941118454,-1.79907958797958
OB,-0.595736339994091,0.595736339994091,0.554271416105832,0,0,46,24,24,-0.331901750617897,0.585330137969318
AON,0.640072029112887,-0.640072029112887,0.525301238869542,0,0,46,24,24,0.785307427828106,-0.0159794928790924
Otu,0.0863611089844762,-0.0863611089844762,0.931554186837685,0,0,46,24,24,-0.636325240402691,-0.744414269531189
Pir,1.31232080153723,-1.31232080153723,0.195922677266777,0,0,46,24,24,-0.387032919325756,-2.07269032398026
DPA,-0.257216889813938,0.257216889813938,0.798158458064733,0,0,46,24,24,1.45620821519896,1.80458600962901
TT,-0.241881453998571,0.241881453998571,0.809947122097232,0,0,46,24,24,1.34753664935033,1.6077308604538
Sept,0.320484709556902,-0.320484709556902,0.750052288594097,0,0,46,24,24,2.12222778702082,1.69078382561681
Nacc,0.0816809297499804,-0.0816809297499804,0.93525481859838,0,0,46,24,24,2.03427449059913,1.94210924400768
CP,0.704091680129316,-0.704091680129316,0.484924947053855,0,0,46,24,24,1.32725542461636,0.339994867877096
Pall,-0.0983691388064212,0.0983691388064212,0.922066585697329,0,0,46,24,24,1.30577931114338,1.4164410273691
VP,-1.42537655996976,1.42537655996976,0.160798953850906,0,0,46,24,24,-0.107569685689076,1.67174173560918
Cl,-0.459601391210346,0.459601391210346,0.647967191085563,0,0,46,24,24,-0.398674204473117,0.271177328216472
Amyg,-0.023558288575663,0.023558288575663,0.981306843358875,0,0,46,24,24,-1.60993612123616,-1.58241454663723
ZI,-0.679894669147559,0.679894669147559,0.49997864241243,0,0,46,24,24,0.761588436985026,1.88550381517076
I_dors,-0.877505896220084,0.877505896220084,0.384772115843468,0,0,46,24,24,-0.510543776418489,0.67301251944073
I_ventr,-0.697680405606931,0.697680405606931,0.488888742048068,0,0,46,24,24,-0.546877457389627,0.374552275318984
I_post,1.02074132551734,-1.02074132551734,0.312715522556721,0,0,46,24,24,0.600889749564283,-0.519909965420003
Gust,-0.312506883152005,0.312506883152005,0.756067670943565,0,0,46,24,24,-1.1437106250293,-0.83882288373138
Visc,0.509018839496768,-0.509018839496768,0.6131720784273,0,0,46,24,24,-0.641774042135017,-1.18471601862558
Perih,0.0108793508008233,-0.0108793508008233,0.991366752759849,0,0,46,24,24,-2.25770799139068,-2.27193126650801
Ect,0.982782911130134,-0.982782911130134,0.33085533010516,0,0,46,24,24,-0.752592587190924,-2.11849611189546
Ent,-0.354731779081023,0.354731779081023,0.724411741508804,0,0,46,24,24,-0.740779192414724,-0.309641776431586
Temp,-0.0517521459107202,0.0517521459107202,0.958950272517793,0,0,46,24,24,-1.56678751850177,-1.49524124222661
ParAss,-1.31505241075929,1.31505241075929,0.195010429201267,0,0,46,24,24,-0.202947193757509,1.55318256222252
RS,0.957831984045618,-0.957831984045618,0.343154834282961,0,0,46,24,24,0.974382483303444,-0.224119845822025
CA,-0.129750353507851,0.129750353507851,0.897329659002524,0,0,46,24,24,1.33295173417631,1.50898930394831
DG,-1.4326601639381,1.4326601639381,0.158716280671758,0,0,46,24,24,-0.25530683782908,1.76906314086015
Sub,-0.699625092143055,0.699625092143055,0.487684530161314,0,0,46,24,24,0.805427979913311,1.71779984949436
SC,-1.74684368559104,1.74684368559104,0.0873388933406864,0,0,46,24,24,-0.130707546205315,2.22032478401585
