Panel,SparsityRange,Predictor,Metric,AnimalID,AnimalNumber,ScanDay,PredictorValue,Pre,Test,TestMinusPre
Figure_S9B,10-50,Rank,g_delta_C,0007CA3BEA,11,3,8,0.211014686670334,0.152481488883188,-0.0585331977871454
Figure_S9B,10-50,Rank,g_delta_C,0007CB2246,12,3,10,0.236082462721792,0.148122267505333,-0.0879601952164593
Figure_S9B,10-50,Rank,g_delta_C,0007CB2584,13,3,3,0.30124626009447,0.226438108091669,-0.0748081520028006
Figure_S9B,10-50,Rank,g_delta_C,0007CB2275,14,3,2,0.248047278226343,0.144924002205457,-0.103123276020886
Figure_S9B,10-50,Rank,g_delta_C,0007CB39B0,17,3,11,0.162231031263446,0.13835673498373,-0.023874296279716
Figure_S9B,10-50,Rank,g_delta_C,0007CA3D87,18,3,5,0.27182266587535,0.133485254983209,-0.138337410892141
Figure_S9B,10-50,Rank,g_delta_C,0007CB3395,19,3,4,0.221622432190287,0.190959555720581,-0.0306628764697059
Figure_S9B,10-50,Rank,g_delta_C,0007CB6A8C,22,3,6,0.161464360921584,0.167921241194206,0.00645688027262184
Figure_S9B,10-50,Rank,g_delta_C,0007CB6B2C,23,3,1,0.158399888828276,0.0606282645279512,-0.0977716243003251
Figure_S9B,10-50,Rank,g_delta_C,0007CB24AD,24,3,7,0.0783756810386691,0.150404282193786,0.0720286011551167
Figure_S9B,10-50,Rank,g_delta_C,0007CB24DA,25,3,12,0.0868410147860249,0.139181178442551,0.0523401636565261
Figure_S9B,10-50,Rank,g_delta_C,0007CA38FF,26,1,3,0.173546866926907,0.131447477999227,-0.0420993889276792
Figure_S9B,10-50,Rank,g_delta_C,0007CB357C,27,1,4,0.158068400795863,0.117163031842497,-0.0409053689533662
Figure_S9B,10-50,Rank,g_delta_C,0007CB239E,30,2,4,0.292328169628189,0.192833139954685,-0.0994950296735038
Figure_S9B,10-50,Rank,g_delta_C,0007CB4123,31,2,3,0.272729409252164,0.193875923917136,-0.0788534853350283
Figure_S9B,10-50,Rank,g_delta_C,0007CB42F2,32,2,8,0.206620540989788,0.134134870252429,-0.0724856707373592
Figure_S9B,10-50,Rank,g_delta_C,0007CB08A5,33,1,12,0.239698012224111,0.263758708331606,0.0240606961074944
Figure_S9B,10-50,Rank,g_delta_C,0007CB6EA3,34,1,6,0.139384895875116,0.146820825774722,0.00743592989960604
Figure_S9B,10-50,Rank,g_delta_C,0007CB0ABC,35,1,7,0.274023977988061,0.165203001896202,-0.108820976091859
Figure_S9B,10-50,Rank,g_delta_C,0007CB1EC1,36,1,11,0.197751581089362,0.228127636370215,0.0303760552808526
